status,occurrence_key,institutionCode,family,species,license,width,height,dorsal_score,raw_path,skeleton_path,url
accepted,2446115978,NHMUK,Papilionidae,Ornithoptera priamus,http://creativecommons.org/licenses/by/4.0/,1440,960,0.7591,museum_butterfly_dorsal/raw_images/nhmuk_2446115978.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446115978_skeleton.png,https://data.nhm.ac.uk/media/dd6f8da4-39f8-4619-9821-662761c927ce
accepted,2446115957,NHMUK,Papilionidae,Ornithoptera priamus,http://creativecommons.org/licenses/by/4.0/,1440,960,0.8258,museum_butterfly_dorsal/raw_images/nhmuk_2446115957.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446115957_skeleton.png,https://data.nhm.ac.uk/media/26749e0d-db49-4afd-9092-5edc24f0e0d2
accepted,2446115982,NHMUK,Papilionidae,Ornithoptera priamus,http://creativecommons.org/licenses/by/4.0/,1440,960,0.7819,museum_butterfly_dorsal/raw_images/nhmuk_2446115982.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446115982_skeleton.png,https://data.nhm.ac.uk/media/78e67962-8a87-4550-a0d9-279fe3534f13
accepted,2446115966,NHMUK,Papilionidae,Ornithoptera priamus,http://creativecommons.org/licenses/by/4.0/,1440,960,0.8048,museum_butterfly_dorsal/raw_images/nhmuk_2446115966.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446115966_skeleton.png,https://data.nhm.ac.uk/media/180cf5da-02ab-4ca6-bd64-b08ab0d2368b
accepted,2446115983,NHMUK,Papilionidae,Ornithoptera priamus,http://creativecommons.org/licenses/by/4.0/,1440,960,0.8082,museum_butterfly_dorsal/raw_images/nhmuk_2446115983.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446115983_skeleton.png,https://data.nhm.ac.uk/media/a77d939d-cc50-41ad-bf4e-957daf1037f0
accepted,2446115972,NHMUK,Papilionidae,Ornithoptera priamus,http://creativecommons.org/licenses/by/4.0/,1440,960,0.7936,museum_butterfly_dorsal/raw_images/nhmuk_2446115972.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446115972_skeleton.png,https://data.nhm.ac.uk/media/75be27fe-bcd1-4f66-8be6-6c0263b78724
accepted,2446090955,NHMUK,Papilionidae,Ornithoptera aesacus,http://creativecommons.org/licenses/by/4.0/,1440,960,0.7707,museum_butterfly_dorsal/raw_images/nhmuk_2446090955.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446090955_skeleton.png,https://data.nhm.ac.uk/media/58d9f6df-5d14-4da4-ae31-b2e0643b8900
accepted,2446312225,NHMUK,Papilionidae,Trogonoptera brookiana,http://creativecommons.org/licenses/by/4.0/,1440,960,0.8277,museum_butterfly_dorsal/raw_images/nhmuk_2446312225.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446312225_skeleton.png,https://data.nhm.ac.uk/media/a1b0170c-9ae7-4092-8fc5-27d26a59c05a
accepted,2446312225,NHMUK,Papilionidae,Trogonoptera brookiana,http://creativecommons.org/licenses/by/4.0/,1440,960,0.8054,museum_butterfly_dorsal/raw_images/nhmuk_2446312225.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446312225_skeleton.png,https://data.nhm.ac.uk/media/db070851-e536-42e0-829c-70d62f448fe6
accepted,2446115980,NHMUK,Papilionidae,Ornithoptera priamus,http://creativecommons.org/licenses/by/4.0/,1440,960,0.7442,museum_butterfly_dorsal/raw_images/nhmuk_2446115980.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446115980_skeleton.png,https://data.nhm.ac.uk/media/63ada15b-f9b5-44d1-b0c1-6aafc51bdf9d
